epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
81,25787.6,0.71498,0.81795,1.20085,0.81584,0.82512,0.89225,0.7122,0.80298,0.59546,1.25614,0.00604,0.00604,0.00604
82,26107.3,0.71846,0.82143,1.20255,0.81855,0.82198,0.89337,0.71351,0.8031,0.59434,1.25595,0.0059905,0.0059905,0.0059905
83,26423.5,0.71862,0.81953,1.20455,0.8151,0.82308,0.89334,0.71458,0.80236,0.59379,1.25531,0.005941,0.005941,0.005941
84,26739.7,0.71508,0.81548,1.20135,0.81941,0.8264,0.89369,0.71457,0.80218,0.59325,1.25509,0.0058915,0.0058915,0.0058915
85,27059.8,0.71643,0.81401,1.20224,0.81257,0.8343,0.89404,0.71494,0.80295,0.59309,1.25504,0.005842,0.005842,0.005842
86,27375.7,0.71344,0.81353,1.19999,0.8152,0.83015,0.89415,0.71509,0.80243,0.59238,1.25403,0.0057925,0.0057925,0.0057925
87,27691.2,0.71568,0.81181,1.20084,0.81103,0.82625,0.89334,0.71529,0.80231,0.5921,1.25318,0.005743,0.005743,0.005743
88,28010.8,0.71157,0.81048,1.19854,0.81962,0.82122,0.89354,0.7154,0.80207,0.59099,1.25205,0.0056935,0.0056935,0.0056935
89,28327.1,0.71099,0.805,1.1983,0.81546,0.82395,0.89285,0.71526,0.80167,0.59031,1.25142,0.005644,0.005644,0.005644
90,28645.7,0.70867,0.8027,1.19671,0.81897,0.82627,0.89324,0.71532,0.80061,0.58999,1.25034,0.0055945,0.0055945,0.0055945
91,28962.9,0.7087,0.80051,1.1958,0.82498,0.82399,0.89354,0.71573,0.80002,0.58951,1.24995,0.005545,0.005545,0.005545
92,29278.4,0.70546,0.79894,1.19475,0.82893,0.81714,0.89373,0.7165,0.80023,0.59033,1.25015,0.0054955,0.0054955,0.0054955
93,29597.5,0.70691,0.79794,1.19616,0.83572,0.80646,0.89457,0.71652,0.79984,0.59057,1.25022,0.005446,0.005446,0.005446
94,29913,0.70445,0.7949,1.1941,0.82939,0.81352,0.89495,0.71726,0.7991,0.58858,1.24981,0.0053965,0.0053965,0.0053965
95,30228.1,0.70574,0.79446,1.19407,0.84767,0.80014,0.89529,0.71827,0.79736,0.58678,1.24825,0.005347,0.005347,0.005347
96,30546.7,0.7049,0.79154,1.19382,0.84444,0.79913,0.89602,0.71867,0.79738,0.58554,1.24835,0.0052975,0.0052975,0.0052975
97,30862.4,0.70304,0.79122,1.19403,0.8105,0.83097,0.89572,0.71832,0.79715,0.58584,1.24814,0.005248,0.005248,0.005248
98,31177.4,0.70389,0.78897,1.1926,0.81754,0.82681,0.89587,0.71835,0.79719,0.58593,1.2481,0.0051985,0.0051985,0.0051985
99,31496.9,0.70074,0.78817,1.19124,0.83977,0.80661,0.8961,0.7189,0.79727,0.58575,1.24873,0.005149,0.005149,0.005149
100,31811.9,0.70025,0.78316,1.19057,0.82787,0.81912,0.89586,0.71867,0.79676,0.58537,1.24849,0.0050995,0.0050995,0.0050995
101,32130.6,0.69996,0.78336,1.19101,0.82945,0.82256,0.89602,0.71925,0.7967,0.58511,1.2485,0.00505,0.00505,0.00505
102,32447.9,0.69905,0.78154,1.18911,0.83692,0.82307,0.89626,0.71881,0.79641,0.58422,1.24795,0.0050005,0.0050005,0.0050005
103,32763.2,0.69843,0.78099,1.18982,0.83175,0.82275,0.8959,0.71902,0.7956,0.58507,1.24718,0.004951,0.004951,0.004951
104,33082.4,0.69524,0.77649,1.18647,0.82708,0.82713,0.89525,0.71853,0.7959,0.58437,1.24749,0.0049015,0.0049015,0.0049015
105,33397.3,0.69815,0.77455,1.18857,0.81889,0.83158,0.89405,0.71764,0.79567,0.58616,1.24714,0.004852,0.004852,0.004852
106,33711.8,0.69725,0.77414,1.18734,0.8217,0.82898,0.89356,0.71619,0.79576,0.58775,1.24769,0.0048025,0.0048025,0.0048025
107,34030.4,0.69386,0.77092,1.18624,0.82394,0.82225,0.8936,0.71567,0.79682,0.58884,1.2492,0.004753,0.004753,0.004753
108,34345.7,0.69513,0.77114,1.18738,0.82692,0.81973,0.89353,0.71571,0.79681,0.5898,1.24952,0.0047035,0.0047035,0.0047035
109,34661.5,0.69344,0.76829,1.18613,0.82636,0.82119,0.89482,0.71692,0.7971,0.58884,1.25006,0.004654,0.004654,0.004654
110,34980.6,0.69133,0.76392,1.18398,0.82577,0.82048,0.89573,0.71899,0.7977,0.58801,1.25081,0.0046045,0.0046045,0.0046045
111,35296,0.69185,0.76393,1.18486,0.81858,0.82747,0.89508,0.71946,0.79763,0.58858,1.25072,0.004555,0.004555,0.004555
112,35611,0.6872,0.76373,1.18424,0.81228,0.8341,0.89541,0.71998,0.79727,0.58816,1.2511,0.0045055,0.0045055,0.0045055
113,35930.4,0.68826,0.75813,1.18349,0.81209,0.82812,0.89575,0.72033,0.79586,0.58602,1.25021,0.004456,0.004456,0.004456
114,36245.9,0.68851,0.75849,1.18304,0.83587,0.80938,0.89531,0.71964,0.79401,0.58627,1.24937,0.0044065,0.0044065,0.0044065
115,36560.5,0.68725,0.75337,1.18164,0.82857,0.8157,0.89513,0.71996,0.79364,0.58783,1.24916,0.004357,0.004357,0.004357
116,36879.6,0.68594,0.75347,1.18101,0.82664,0.81604,0.89503,0.7201,0.79211,0.58816,1.24805,0.0043075,0.0043075,0.0043075
117,37194.8,0.68459,0.75326,1.17997,0.82596,0.81422,0.89484,0.71979,0.79203,0.58799,1.24777,0.004258,0.004258,0.004258
118,37510.2,0.68393,0.7499,1.18093,0.82498,0.81874,0.89414,0.71986,0.792,0.58911,1.24725,0.0042085,0.0042085,0.0042085
119,37829.6,0.68392,0.74693,1.18049,0.82517,0.82009,0.89405,0.72096,0.7907,0.5897,1.24623,0.004159,0.004159,0.004159
120,38145.3,0.68091,0.74233,1.17754,0.83308,0.81345,0.89396,0.72087,0.7903,0.58769,1.24545,0.0041095,0.0041095,0.0041095
121,38462.3,0.68053,0.74445,1.17906,0.83305,0.81529,0.89413,0.72213,0.78996,0.5866,1.24537,0.00406,0.00406,0.00406
122,38781,0.68193,0.73798,1.17682,0.83018,0.8186,0.89439,0.72138,0.78885,0.58676,1.24383,0.0040105,0.0040105,0.0040105
123,39095.9,0.67618,0.73616,1.17568,0.83904,0.81732,0.89433,0.72201,0.78747,0.5863,1.24285,0.003961,0.003961,0.003961
124,39410.7,0.67625,0.73278,1.17538,0.84581,0.80927,0.89428,0.72185,0.78716,0.58562,1.24255,0.0039115,0.0039115,0.0039115
125,39729.5,0.67439,0.73257,1.17413,0.83176,0.81911,0.89489,0.72245,0.78709,0.58567,1.24333,0.003862,0.003862,0.003862
126,40044.9,0.67511,0.73027,1.17396,0.8304,0.81868,0.8963,0.72285,0.78606,0.58505,1.24219,0.0038125,0.0038125,0.0038125
127,40362.2,0.6738,0.72905,1.17344,0.8288,0.82097,0.89637,0.72311,0.78642,0.58444,1.24282,0.003763,0.003763,0.003763
128,40680.6,0.67288,0.72415,1.17318,0.82475,0.82388,0.89636,0.72315,0.78658,0.58524,1.24305,0.0037135,0.0037135,0.0037135
129,40995.5,inf,0.72031,1.17073,0.8356,0.81429,0.89609,0.72413,0.78699,0.58467,1.24378,0.003664,0.003664,0.003664
130,41313.9,0.67042,0.71936,1.17034,0.83597,0.81263,0.89637,0.72402,0.78587,0.58515,1.24299,0.0036145,0.0036145,0.0036145
131,41630.6,0.66771,0.7182,1.17057,0.83703,0.81768,0.89644,0.72413,0.78518,0.58528,1.24244,0.003565,0.003565,0.003565
132,41946.3,0.66623,0.71468,1.16703,0.83605,0.81867,0.89691,0.72354,0.78538,0.58407,1.24244,0.0035155,0.0035155,0.0035155
133,42265.2,0.66612,0.71523,1.16882,0.84328,0.81179,0.89748,0.72346,0.78485,0.58264,1.24136,0.003466,0.003466,0.003466
